Gene,Transcript
NOS3,NM_000603.5
NOSTRIN,NM_001039724.4
NOTCH1,NM_017617.5
NOTCH2,NM_024408.4
NOTCH3,NM_000435.3
NOTCH4,NM_004557.4
NOTO,NM_001134462.2
NOTUM,NM_178493.6
NOVA1,NM_002515.3
NOVA2,NM_002516.4
NOX1,NM_007052.5
NOX3,NM_015718.3
NOX4,NM_016931.5
NOX5,NM_024505.4
NOXA1,NM_001256067.2
NOXO1,NM_172167.3
NOXRED1,NM_001113475.3
NPAP1,NM_018958.3
NPAS1,NM_002517.4
NPAS2,NM_002518.4
NPAS3,NM_001164749.2
NPAS4,NM_178864.4
NPAT,NM_002519.3
NPBWR1,NM_005285.5
NPBWR2,NM_005286.4
NPC1,NM_000271.5
NPC1L1,NM_001101648.2
NPC2,NM_006432.5
NPDC1,NM_015392.4
NPEPL1,NM_024663.4
NPEPPS,NM_006310.4
NPFF,NM_003717.4
NPFFR1,NM_022146.5
NPFFR2,NM_004885.3
NPHP1,NM_001128178.3
NPHP3,NM_153240.5
NPHP4,NM_015102.5
NPHS1,NM_004646.4
NPHS2,NM_014625.4
NPIPA1,NM_006985.4
NPIPA7,NM_001282507.2
NPIPB11,NM_001310137.5
NPIPB3,NM_130464.3
NPIPB4,NM_001384980.1
NPIPB5,NM_001395849.1
NPIPB7,NM_001396030.1
NPL,NM_030769.3
NPLOC4,NM_017921.4
NPM2,NM_001286680.2
NPNT,NM_001033047.3
NPPA,NM_006172.4
NPPB,NM_002521.3
NPPC,NM_024409.4
NPR1,NM_000906.4
NPR2,NM_003995.4
NPR3,NM_001204375.2
NPRL2,NM_006545.5
NPRL3,NM_001077350.3
NPS,NM_001030013.2
NPSR1,NM_207172.2
NPTX1,NM_002522.4
NPTX2,NM_002523.3
NPTXR,NM_014293.4
NPVF,NM_022150.3
NPY,NM_000905.4
NPY1R,NM_000909.6
NPY2R,NM_000910.4
NPY4R,NM_005972.6
NPY4R2,NM_001395253.1
NPY5R,NM_006174.4
NQO1,NM_000903.3
NQO2,NM_000904.6
NR0B1,NM_000475.5
NR0B2,NM_021969.3
NR1D1,NM_021724.5
NR1D2,NM_005126.5
NR1H3,NM_005693.4
NR1H4,NM_001206979.2
NR1I2,NM_003889.4
NR1I3,NM_005122.5
NR2C1,NM_003297.4
NR2E3,NM_014249.4
NR2F1,NM_005654.6
NR2F2,NM_021005.4
NR2F6,NM_005234.4
NR3C1,NM_000176.3
NR3C2,NM_000901.5
NR4A1,NM_173157.3
NR4A2,NM_006186.4
NR4A3,NM_006981.4
NR5A1,NM_004959.5
NR5A2,NM_205860.3
NR6A1,NM_033334.4
NRAP,NM_198060.4
NRAS,NM_002524.5
NRBF2,NM_030759.5
NRBP1,NM_013392.4
NRCAM,NM_001037132.4
NRDC,NM_001101662.2
NRDE2,NM_017970.4
NREP,NM_001142475.2
NRG1,NM_013964.5
NRG2,NM_004883.3
NRG3,NM_001010848.4
NRG4,NM_138573.4
NRIP1,NM_003489.4
NRIP2,NM_031474.3
NRK,NM_198465.4
NRL,NM_001354768.3
NRM,NM_001384369.1
NRN1,NM_016588.3
NRN1L,NM_198443.2
NRP1,NM_003873.7
NRP2,NM_003872.3
NRROS,NM_198565.3
NRSN2,NM_001323682.2
NRTN,NM_004558.5
NRXN1,NM_001330078.2
NRXN2,NM_015080.4
NRXN3,NM_001330195.2
NSD1,NM_022455.5
NSD2,NM_001042424.3
NSD3,NM_023034.2
NSDHL,NM_015922.3
NSF,NM_006178.4
NSFL1C,NM_016143.5
NSL1,NM_015471.4
NSMCE1,NM_145080.4
NSMCE2,NM_173685.4
NSMCE3,NM_138704.4
NSMF,NM_001130969.3
NSRP1,NM_032141.4
NSUN2,NM_017755.6
NSUN3,NM_022072.5
NSUN5,NM_148956.4
NSUN6,NM_182543.5
NSUN7,NM_024677.6
NT5C,NM_014595.3
NT5C1A,NM_032526.3
NT5C1B,NM_033253.4
NT5C2,NM_001351169.2
NT5C3A,NM_001002010.5
NT5C3B,NM_052935.5
NT5DC1,NM_152729.3
NT5E,NM_002526.4
NT5M,NM_020201.4
NTF3,NM_001102654.2
NTF4,NM_006179.5
NTHL1,NM_002528.7
NTM,NM_001352005.2
NTN1,NM_004822.3
NTN3,NM_006181.3
NTN4,NM_021229.4
NTN5,NM_145807.4
NTNG2,NM_032536.4
NTPCR,NM_032324.3
NTRK1,NM_002529.4
NTRK2,NM_006180.6
NTRK3,NM_001012338.3
NTSR1,NM_002531.3
NTSR2,NM_012344.4
NUAK1,NM_014840.3
NUAK2,NM_030952.3
NUB1,NM_001243351.2
NUBP1,NM_002484.4
NUBP2,NM_012225.4
NUBPL,NM_025152.3
NUCB1,NM_006184.6
NUCB2,NM_005013.4
NUDCD1,NM_032869.4
NUDT1,NM_002452.4
NUDT10,NM_001304963.2
NUDT12,NM_031438.4
NUDT13,NM_015901.6
NUDT14,NM_177533.5
NUDT15,NM_018283.4
NUDT16,NM_152395.3
NUDT17,NM_001012758.3
NUDT18,NM_024815.4
NUDT19,NM_001105570.2
NUDT2,NM_001161.5
NUDT22,NM_032344.4
NUDT6,NM_007083.5
NUDT7,NM_001105663.3
NUF2,NM_145697.3
NUFIP1,NM_012345.3
NUFIP2,NM_020772.3
NUMA1,NM_006185.4
NUMBL,NM_004756.5
NUP107,NM_020401.4
NUP133,NM_018230.3
NUP153,NM_005124.4
NUP155,NM_153485.3
NUP160,NM_015231.3
NUP188,NM_015354.3
NUP205,NM_015135.3
NUP210,NM_024923.4
NUP210L,NM_207308.3
NUP214,NM_005085.4
NUP37,NM_024057.4
NUP42,NM_007342.3
NUP43,NM_198887.3
NUP50,NM_007172.4
NUP54,NM_017426.4
NUP62,NM_016553.5
NUP62CL,NM_017681.3
NUP85,NM_024844.5
NUP88,NM_002532.6
NUP93,NM_014669.5
NUP98,NM_016320.5
NUS1,NM_138459.5
NUSAP1,NM_016359.5
NUTM1,NM_001284292.2
NUTM2A,NM_001099338.2
NUTM2B,NM_001278495.2
NUTM2E,NM_001355263.2
NUTM2F,NM_017561.2
NUTM2G,NM_001170741.3
NVL,NM_002533.4
NWD1,NM_001007525.5
NWD2,NM_001144990.2
NXF1,NM_006362.5
NXF2,NM_022053.4
NXF3,NM_022052.2
NXN,NM_022463.5
NXNL1,NM_138454.2
NXNL2,NM_001161625.2
NXPE1,NM_001395504.1
NXPE2,NM_182495.6
NXPE3,NM_145037.4
NXPE4,NM_001077639.2
NXPH3,NM_007225.4
NXT2,NM_018698.5
NYAP1,NM_173564.4
NYAP2,NM_001371273.1
NYNRIN,NM_025081.3
NYX,NM_001378477.3
OAS1,NM_016816.4
OAS2,NM_002535.3
OAS3,NM_006187.4
OASL,NM_003733.4
OAT,NM_000274.4
OAZ1,NM_004152.3
OBP2A,NM_014582.3
OBP2B,NM_014581.4
OBSCN,NM_001386125.1
OBSL1,NM_015311.3
OC90,NM_001080399.3
OCA2,NM_000275.3
OCEL1,NM_024578.3
OCIAD2,NM_001014446.3
OCLN,NM_001205254.2
OCM,NM_001097622.2
OCRL,NM_000276.4
OCSTAMP,NM_080721.3
ODAD1,NM_001364171.2
ODAD2,NM_018076.5
ODAD3,NM_145045.5
ODAD4,NM_031421.5
ODAPH,NM_178497.5
ODC1,NM_002539.3
ODF2,NM_001351578.2
ODF2L,NM_001366781.1
OFD1,NM_003611.3
OGDH,NM_002541.4
OGDHL,NM_018245.3
OGFOD2,NM_001304833.2
OGFOD3,NM_024648.3
OGFR,NM_007346.4
OGFRL1,NM_024576.5
OGG1,NM_002542.6
OGT,NM_181672.3
OIP5,NM_007280.2
OIT3,NM_152635.3
OLAH,NM_001039702.3
OLFM2,NM_058164.4
OLFM4,NM_006418.5
OLFML1,NM_198474.4
OLFML2A,NM_182487.4
OLFML2B,NM_015441.3
OLR1,NM_002543.4
OMA1,NM_145243.5
OMG,NM_002544.5
OMP,NM_006189.1
ONECUT2,NM_004852.3
ONECUT3,NM_001080488.2
OOEP,NM_001080507.3
OPA1,NM_130837.3
OPA3,NM_025136.4
OPALIN,NM_033207.5
OPCML,NM_001012393.5
OPHN1,NM_002547.3
OPLAH,NM_017570.5
OPN1LW,NM_020061.6
OPN1MW,NM_000513.2
OPN1MW2,NM_001048181.3
OPN1SW,NM_001385125.1
OPN3,NM_014322.3
OPN4,NM_033282.4
OPRK1,NM_000912.5
OPRM1,NM_000914.5
OPTC,NM_014359.4
OPTN,NM_001008212.2
OR10A3,NM_001003745.2
OR10A4,NM_207186.2
OR10A6,NM_001004461.2
OR10A7,NM_001005280.1
OR10AG1,NM_001005491.2
OR10C1,NM_013941.4
OR10G2,NM_001005466.2
OR10G3,NM_001005465.2
OR10G4,NM_001004462.2
OR10G8,NM_001004464.2
OR10G9,NM_001001953.1
OR10H1,NM_013940.4
OR10H3,NM_013938.2
OR10H4,NM_001004465.1
OR10H5,NM_001004466.2
OR10J5,NM_001004469.1
OR10K1,NM_001004473.2
OR10P1,NM_206899.1
OR10Q1,NM_001004471.2
OR10T2,NM_001004475.1
OR10V1,NM_001005324.1
OR10X1,NM_001004477.1
OR10Z1,NM_001004478.2
OR11A1,NM_001394828.1
OR11G2,NM_001386033.1
OR11H1,NM_001005239.2
OR11H12,NM_001013354.1
OR11H2,NM_001197287.2
OR11H4,NM_001004479.2
OR11H6,NM_001004480.1
OR11L1,NM_001001959.1
OR12D2,NM_013936.4
OR13A1,NM_001004297.3
OR13C2,NM_001004481.1
OR13C3,NM_001001961.3
OR13C4,NM_001001919.1
OR13C5,NM_001004482.1
OR13D1,NM_001004484.2
OR13F1,NM_001004485.1
OR13G1,NM_001005487.2
OR13H1,NM_001004486.1
OR13J1,NM_001004487.1
OR14J1,NM_030946.2
OR1A1,NM_014565.3
OR1A2,NM_012352.3
OR1B1,NM_001004450.3
OR1C1,NM_012353.3
OR1D2,NM_002548.3
OR1D5,NM_014566.1
OR1E1,NM_003553.3
OR1E2,NM_003554.2
OR1F1,NM_001370640.6
OR1G1,NM_003555.1
OR1I1,NM_001004713.2
OR1J1,NM_001004451.1
OR1J2,NM_054107.1
OR1J4,NM_001004452.1
OR1K1,NM_080859.1
OR1L1,NM_001005236.3
OR1L3,NM_001005234.1
OR1L6,NM_001004453.3
OR1M1,NM_001004456.2
OR1N1,NM_012363.1
OR1N2,NM_001004457.2
OR1Q1,NM_012364.1
OR1S2,NM_001004459.2
OR2A1,NM_001005287.2
OR2A14,NM_001001659.3
OR2A2,NM_001005480.2
OR2A25,NM_001386096.1
OR2A4,NM_030908.2
OR2A42,NM_001001802.3
OR2A5,NM_012365.2
OR2A7,NM_001005328.2
OR2AG1,NM_001004489.3
OR2AG2,NM_001004490.2
OR2AK2,NM_001004491.2
OR2AT4,NM_001405852.1
OR2B11,NM_001004492.2
OR2B2,NM_033057.2
OR2B3,NM_001005226.2
OR2B6,NM_012367.1
OR2C1,NM_012368.3
OR2D3,NM_001004684.1
OR2F1,NM_012369.3
OR2F2,NM_001004685.1
OR2G3,NM_001001914.1
OR2G6,NM_001013355.2
OR2H1,NM_030883.5
OR2H2,NM_007160.4
OR2J2,NM_030905.3
OR2J3,NM_001005216.4
OR2L2,NM_001385855.1
OR2L3,NM_001004687.2
OR2M2,NM_001004688.2
OR2M3,NM_001004689.2
OR2M5,NM_001004690.1
OR2M7,NM_001004691.1
OR2S2,NM_019897.2
OR2T10,NM_001004693.2
OR2T11,NM_001001964.2
OR2T12,NM_001004692.2
OR2T2,NM_001004136.2
OR2T27,NM_001001824.2
OR2T29,NM_001004694.3
OR2T3,NM_001005495.1
OR2T33,NM_001004695.2
OR2T34,NM_001001821.1
OR2T35,NM_001001827.2
OR2T5,NM_001004697.2
OR2T6,NM_001005471.2
OR2T8,NM_001005522.2
OR2V2,NM_206880.2
OR2W1,NM_030903.3
OR2W3,NM_001001957.2
OR2Y1,NM_001001657.1
OR2Z1,NM_001004699.3
OR3A1,NM_002550.3
OR3A3,NM_012373.3
OR4A15,NM_001005275.2
OR4A16,NM_001005274.1
OR4A47,NM_001005512.2
OR4A5,NM_001005272.3
OR4C11,NM_001004700.3
OR4C12,NM_001005270.4
OR4C13,NM_001001955.2
OR4C15,NM_001001920.3
OR4C16,NM_001004701.2
OR4C46,NM_001004703.1
OR4C6,NM_001004704.2
OR4D1,NM_001386095.1
OR4D10,NM_001004705.2
OR4D11,NM_001004706.1
OR4D2,NM_001004707.4
OR4D5,NM_001001965.1
OR4D6,NM_001004708.1
OR4D9,NM_001004711.2
OR4E2,NM_001001912.3
OR4F15,NM_001001674.2
OR4F17,NM_001005240.3
OR4F21,NM_001005504.1
OR4F5,NM_001005484.2
OR4F6,NM_001005326.2
OR4K1,NM_001004063.3
OR4K13,NM_001004714.2
OR4K14,NM_001004712.2
OR4K15,NM_001005486.1
OR4K17,NM_001004715.5
OR4K2,NM_001005501.2
OR4K5,NM_001005483.1
OR4L1,NM_001004717.1
OR4M1,NM_001005500.2
OR4M2,NM_001004719.2
OR4N2,NM_001004723.3
OR4N4,NM_001005241.4
OR4P4,NM_001405919.1
OR4Q3,NM_001405963.1
OR4S1,NM_001004725.1
OR4S2,NM_001004059.3
OR4X1,NM_001004726.1
OR4X2,NM_001004727.1
OR51A2,NM_001004748.1
OR51A4,NM_001005329.2
OR51A7,NM_001004749.2
OR51B2,NM_033180.5
OR51B4,NM_033179.2
OR51B5,NM_001395252.1
OR51B6,NM_001004750.1
OR51E1,NM_152430.4
OR51F1,NM_001004752.2
OR51F2,NM_001004753.2
OR51G1,NM_001005237.1
OR51G2,NM_001005238.2
OR51I1,NM_001005288.3
OR51I2,NM_001004754.3
OR51M1,NM_001004756.3
OR51Q1,NM_001004757.2
OR51S1,NM_001004758.1
OR51V1,NM_001004760.3
OR52B2,NM_001004052.1
OR52B4,NM_001005161.3
OR52B6,NM_001005162.2
OR52D1,NM_001005163.2
OR52E2,NM_001005164.2
OR52E6,NM_001005167.2
OR52E8,NM_001005168.3
OR52H1,NM_001005289.5
OR52I1,NM_001005169.1
OR52I2,NM_001405760.1
OR52J3,NM_001001916.2
OR52K2,NM_001005172.2
OR52L1,NM_001005173.3
OR52M1,NM_001004137.1
OR52N1,NM_001001913.2
OR52N2,NM_001005174.3
OR52N4,NM_001005175.5
OR52N5,NM_001385662.1
OR52R1,NM_001005177.3
OR56A1,NM_001388488.1
OR56A3,NM_001003443.3
OR56A4,NM_001005179.4
OR56A5,NM_001146033.1
OR56B1,NM_001005180.3
OR56B4,NM_001005181.2
OR5A1,NM_001004728.2
OR5A2,NM_001001954.2
OR5AC2,NM_054106.1
OR5AK2,NM_001005323.1
OR5AP2,NM_001002925.1
OR5AR1,NM_001004730.1
OR5AS1,NM_001001921.2
OR5B12,NM_001004733.3
OR5B17,NM_001005489.2
OR5B2,NM_001005566.3
OR5B21,NM_001005218.3
OR5B3,NM_001005469.2
OR5C1,NM_001001923.1
OR5D13,NM_001001967.1
OR5D14,NM_001004735.1
OR5D16,NM_001005496.1
OR5D18,NM_001001952.1
OR5F1,NM_003697.1
OR5H1,NM_001005338.2
OR5H14,NM_001005514.2
OR5H15,NM_001005515.2
OR5H2,NM_001005482.2
OR5H6,NM_001005479.2
OR5J2,NM_001005492.1
OR5K1,NM_001004736.4
OR5K2,NM_001004737.1
OR5K3,NM_001005516.1
OR5K4,NM_001005517.1
OR5L1,NM_001004738.2
OR5L2,NM_001004739.1
OR5M1,NM_001004740.2
OR5M10,NM_001004741.1
OR5M11,NM_001005245.1
OR5M3,NM_001004742.3
OR5M9,NM_001004743.1
OR5P3,NM_153445.2
OR5T1,NM_001004745.2
OR5T2,NM_001004746.4
OR5T3,NM_001004747.2
OR5V1,NM_030876.6
OR6A2,NM_003696.3
OR6B2,NM_001005853.1
OR6B3,NM_173351.2
OR6C1,NM_001005182.2
OR6C3,NM_001388498.1
OR6C6,NM_001005493.2
OR6C68,NM_001005519.2
OR6C74,NM_001005490.2
OR6C75,NM_001005497.2
OR6K2,NM_001005279.3
OR6K3,NM_001005327.3
OR6M1,NM_001005325.1
OR6N1,NM_001005185.2
OR6P1,NM_001160325.2
OR6Q1,NM_001005186.2
OR6S1,NM_001001968.1
OR6T1,NM_001005187.1
OR6V1,NM_001001667.1
OR6X1,NM_001005188.1
OR7A10,NM_001005190.2
OR7A5,NM_017506.2
OR7D2,NM_175883.4
OR7E24,NM_001079935.2
OR7G1,NM_001005192.2
OR7G3,NM_001001958.1
OR8B12,NM_001005195.1
OR8B2,NM_001005468.2
OR8B3,NM_001005467.2
OR8B8,NM_012378.2
OR8D1,NM_001002917.2
OR8D2,NM_001002918.1
OR8D4,NM_001005197.2
OR8G1,NM_001002905.2
OR8G5,NM_001005198.2
OR8H1,NM_001005199.2
OR8H2,NM_001386064.1
OR8H3,NM_001005201.1
OR8I2,NM_001003750.1
OR8J1,NM_001005205.3
OR8J3,NM_001004064.2
OR8K3,NM_001005202.2
OR8U1,NM_001005204.1
OR9A2,NM_001001658.1
OR9G1,NM_001005213.2
OR9G4,NM_001005284.2
OR9Q1,NM_001005212.4
ORAI1,NM_032790.4
ORAI2,NM_001126340.3
ORAI3,NM_152288.3
ORC1,NM_004153.4
ORC3,NM_012381.4
ORC4,NM_181741.4
ORC6,NM_014321.4
ORM1,NM_000607.4
ORM2,NM_000608.4
ORMDL2,NM_014182.5
OS9,NM_006812.4
OSBP,NM_002556.3
OSBP2,NM_030758.4
OSBPL10,NM_017784.5
OSBPL2,NM_144498.4
OSBPL3,NM_015550.4
OSBPL5,NM_020896.4
OSCAR,NM_133169.6
OSGEP,NM_017807.4
OSGEPL1,NM_022353.3
OSGIN1,NM_182981.3
OSGIN2,NM_001126111.3
OSM,NM_020530.6
OSMR,NM_003999.3
OSTM1,NM_014028.4
OTC,NM_000531.6
OTOA,NM_144672.4
OTOF,NM_194248.3
OTOG,NM_001292063.2
OTOGL,NM_001378609.3
OTOL1,NM_001080440.1
OTOP1,NM_177998.3
OTOP2,NM_178160.3
OTOP3,NM_001272005.2
OTOR,NM_020157.4
OTP,NM_032109.3
OTUB2,NM_023112.4
OTUD1,NM_001145373.3
OTUD3,NM_015207.2
OTUD4,NM_001366057.1
OTUD5,NM_001136157.2
OTUD6B,NM_016023.5
OTUD7A,NM_001382637.1
OTUD7B,NM_020205.4
OTULIN,NM_138348.6
OTX1,NM_014562.4
OTX2,NM_021728.4
OVCH1,NM_001353179.2
OVCH2,NM_198185.7
OVGP1,NM_002557.4
OVOL1,NM_004561.4
OVOL2,NM_021220.4
OXA1L,NM_005015.5
OXCT1,NM_000436.4
OXCT2,NM_022120.2
OXER1,NM_148962.5
OXGR1,NM_001346194.2
OXNAD1,NM_138381.5
OXSM,NM_017897.3
OXTR,NM_000916.4
P2RX1,NM_002558.4
P2RX2,NM_170682.4
P2RX3,NM_002559.5
P2RX4,NM_002560.3
P2RX5,NM_002561.4
P2RX6,NM_005446.5
P2RX7,NM_002562.6
P2RY11,NM_002566.5
P2RY12,NM_022788.5
P2RY13,NM_176894.3
P2RY14,NM_014879.4
P2RY2,NM_002564.4
P2RY4,NM_002565.4
P3H1,NM_022356.4
P3H2,NM_018192.4
P3H3,NM_014262.5
P3H4,NM_006455.3
P4HA1,NM_001017962.3
P4HA2,NM_001017974.2
P4HA3,NM_182904.5
P4HB,NM_000918.4
P4HTM,NM_177939.3
PABIR2,NM_001387468.1
PABIR3,NM_001388447.1
PABPC1L,NM_001372179.1
PABPC4,NM_001135653.2
PABPC4L,NM_001114734.2
PABPN1L,NM_001080487.4
PACC1,NM_018252.3
PACRG,NM_001080379.2
PACS1,NM_018026.4
PACS2,NM_001100913.3
PACSIN2,NM_001184970.3
PADI1,NM_013358.3
PADI2,NM_007365.3
PADI3,NM_016233.2
PADI4,NM_012387.3
PADI6,NM_207421.4
PAEP,NM_002571.4
PAFAH1B1,NM_000430.4
PAG1,NM_018440.4
PAGE1,NM_003785.4
PAGE2,NM_207339.4
PAGE3,NM_001017931.3
PAGE5,NM_001013435.3
PAGR1,NM_024516.4
PAH,NM_000277.3
PAIP1,NM_006451.5
PAK1,NM_002576.5
PAK2,NM_002577.4
PAK3,NM_002578.5
PAK4,NM_005884.5
PAK6,NM_001395430.1
PALB2,NM_024675.4
PALD1,NM_014431.3
PALLD,NM_001166108.2
PALM,NM_002579.3
PALM2AKAP2,NM_007203.5
PALM3,NM_001145028.2
PALMD,NM_017734.5
PALS1,NM_022474.4
PAM,NM_001177306.2
PAM16,NM_016069.11
PAMR1,NM_001001991.3
PAN2,NM_014871.6
PANK2,NM_001386393.1
PANK4,NM_018216.4
PANX1,NM_015368.4
PANX2,NM_052839.4
PANX3,NM_052959.3
PAOX,NM_152911.4
PAPLN,NM_001365906.3
PAPOLA,NM_032632.5
PAPOLB,NM_020144.5
PAPPA,NM_002581.5
PAPPA2,NM_020318.3
PAPSS2,NM_001015880.2
PAQR3,NM_001040202.2
PAQR6,NM_198406.3
PAQR8,NM_133367.5
PAQR9,NM_198504.4
PARD3,NM_001184785.2
PARD3B,NM_001302769.2
PARD6A,NM_001037281.2
PARD6B,NM_032521.3
PARK7,NM_007262.5
PARM1,NM_015393.4
PARN,NM_002582.4
PARP1,NM_001618.4
PARP10,NM_032789.5
PARP11,NM_020367.6
PARP12,NM_022750.4
PARP14,NM_017554.3
PARP15,NM_001113523.3
PARP2,NM_001042618.2
PARP3,NM_001003931.4
PARP4,NM_006437.4
PARP8,NM_024615.4
PARP9,NM_001146105.2
PARPBP,NM_017915.5
PARS2,NM_152268.4
PARVB,NM_013327.5
PASD1,NM_173493.3
PASK,NM_015148.4
PATE1,NM_138294.3
PATJ,NM_001350145.3
PATL1,NM_152716.3
PATL2,NM_001387263.1
PATZ1,NM_014323.3
PAX1,NM_001257096.2
PAX2,NM_000278.5
PAX3,NM_181458.4
PAX4,NM_001366110.1
PAX5,NM_016734.3
PAX6,NM_001368894.2
PAX7,NM_001135254.2
PAX8,NM_003466.4
PAX9,NM_001372076.1
PAXBP1,NM_016631.4
PAXIP1,NM_007349.4
PBDC1,NM_016500.5
PBK,NM_018492.4
PBLD,NM_022129.4
PBX1,NM_002585.4
PBX2,NM_002586.5
PBX4,NM_025245.3
PBXIP1,NM_020524.4
PC,NM_001040716.2
PCARE,NM_001029883.3
PCBD1,NM_000281.4
PCBD2,NM_032151.5
PCBP1,NM_006196.4
PCBP4,NM_001174100.2
PCCA,NM_000282.4
PCCB,NM_000532.5
PCDH1,NM_032420.5
PCDH10,NM_032961.3
PCDH11X,NM_032968.5
PCDH12,NM_016580.4
PCDH15,NM_001384140.1
PCDH18,NM_019035.5
PCDH19,NM_001184880.2
PCDH20,NM_022843.4
PCDH7,NM_001173523.2
PCDH8,NM_002590.4
PCDH9,NM_203487.3
PCDHA1,NM_018900.4
PCDHA10,NM_018901.4
PCDHA11,NM_018902.5
PCDHA12,NM_018903.4
PCDHA13,NM_018904.3
PCDHA2,NM_018905.3
PCDHA3,NM_018906.3
PCDHA4,NM_018907.4
PCDHA5,NM_018908.3
PCDHA6,NM_018909.4
PCDHA7,NM_018910.3
PCDHA8,NM_018911.3
PCDHA9,NM_031857.2
PCDHAC1,NM_018898.5
PCDHB1,NM_013340.4
PCDHB10,NM_018930.4
PCDHB11,NM_018931.3
PCDHB12,NM_018932.4
PCDHB14,NM_018934.4
PCDHB15,NM_018935.4
PCDHB16,NM_020957.4
PCDHB2,NM_018936.4
PCDHB3,NM_018937.5
PCDHB4,NM_018938.4
PCDHB5,NM_015669.5
PCDHB6,NM_018939.4
PCDHB7,NM_018940.4
PCDHB8,NM_019120.5
PCDHB9,NM_019119.5
PCDHGA1,NM_018912.3
PCDHGA10,NM_018913.3
PCDHGA11,NM_018914.3
PCDHGA2,NM_018915.4
PCDHGA3,NM_018916.4
PCDHGA4,NM_018917.4
PCDHGA5,NM_018918.3
PCDHGA6,NM_018919.3
PCDHGA7,NM_018920.4
PCDHGA8,NM_032088.2
PCDHGA9,NM_018921.3
PCDHGB1,NM_018922.3
PCDHGB2,NM_018923.3
PCDHGB3,NM_018924.5
PCDHGB4,NM_003736.4
PCDHGB5,NM_018925.3
PCDHGB6,NM_018926.3
PCDHGB7,NM_018927.4
PCDHGC3,NM_002588.4
PCDHGC4,NM_018928.3
PCDHGC5,NM_018929.3
PCED1A,NM_022760.6
PCF11,NM_001346413.3
PCGF2,NM_007144.3
PCID2,NM_001127202.4
PCK1,NM_002591.4
PCK2,NM_004563.4
PCLO,NM_033026.6
PCM1,NM_006197.4
PCMTD2,NM_018257.3
PCNA,NM_182649.2
PCNP,NM_020357.3
PCNT,NM_006031.6
PCNX1,NM_014982.3
PCNX2,NM_014801.4
PCNX3,NM_032223.4
PCNX4,NM_001330177.2
PCOLCE,NM_002593.4
PCP2,NM_174895.3
PCSK1,NM_000439.5
PCSK2,NM_002594.5
PCSK4,NM_017573.5
PCSK5,NM_001372043.1
PCSK6,NM_002570.5
PCSK7,NM_004716.4
PCSK9,NM_174936.4
PCTP,NM_021213.4
PCYOX1,NM_016297.4
PCYT1A,NM_001312673.2
PCYT2,NM_002861.5
PDAP1,NM_014891.7
PDCD1,NM_005018.3
PDCD10,NM_007217.4
PDCD11,NM_014976.2
PDCD1LG2,NM_025239.4
PDCD2,NM_002598.4
PDCD2L,NM_032346.2
PDCD5,NM_004708.4
PDCD6IP,NM_013374.6
PDCD7,NM_005707.2
PDE10A,NM_001385079.1
PDE11A,NM_016953.4
PDE12,NM_177966.7
PDE1A,NM_001363871.4
PDE1C,NM_001191057.4
PDE2A,NM_002599.5
PDE3A,NM_000921.5
PDE3B,NM_000922.4
PDE4A,NM_001111307.2
PDE4B,NM_002600.4
PDE4C,NM_001098818.4
PDE4D,NM_001104631.2
PDE4DIP,NM_001395426.1
PDE5A,NM_001083.4
PDE6A,NM_000440.3
PDE6B,NM_000283.4
PDE6C,NM_006204.4
PDE6D,NM_002601.4
PDE6G,NM_002602.4
PDE7B,NM_018945.4
PDE8A,NM_002605.3
PDE8B,NM_003719.5
PDE9A,NM_002606.3
PDF,NM_022341.2
PDGFA,NM_033023.5
PDGFB,NM_002608.4
PDGFC,NM_016205.3
PDGFRA,NM_006206.6
PDGFRB,NM_002609.4
PDGFRL,NM_001372073.1
PDHA1,NM_000284.4
PDHA2,NM_005390.5
PDHB,NM_000925.4
PDHX,NM_003477.3
PDIA2,NM_006849.4
PDIA3,NM_005313.5
PDIA4,NM_004911.5
PDIA5,NM_006810.4
PDILT,NM_174924.2
PDK1,NM_002610.5
PDK2,NM_002611.5
PDK3,NM_005391.5
PDK4,NM_002612.4
PDLIM2,NM_021630.6
PDLIM3,NM_014476.6
PDLIM5,NM_006457.5
PDLIM7,NM_005451.5
PDP1,NM_018444.4
PDP2,NM_020786.4
PDPR,NM_017990.5
PDS5A,NM_001100399.2
PDS5B,NM_015032.4
PDSS1,NM_014317.5
PDSS2,NM_020381.4
PDX1,NM_000209.4
PDXDC1,NM_015027.4
PDXK,NM_003681.5
PDYN,NM_024411.5
PDZD2,NM_178140.4
PDZD4,NM_001303512.2
PDZD7,NM_001195263.2
PDZD8,NM_173791.5
PDZK1,NM_001201325.2
PDZRN3,NM_015009.3
PDZRN4,NM_001164595.2
PEAK1,NM_001385026.1
PEAR1,NM_001080471.3
PEBP1,NM_002567.4
PEBP4,NM_144962.3
PECR,NM_018441.6
PEG10,NM_001040152.2
PEG3,NM_006210.3
PELI2,NM_021255.3
PELP1,NM_014389.3
PEMT,NM_148172.3
PENK,NM_001135690.3
PEPD,NM_000285.4
PER1,NM_002616.3
PER2,NM_022817.3
PER3,NM_001377275.1
PERCC1,NM_001365310.2
PERM1,NM_001394713.1
PERP,NM_022121.5
PES1,NM_014303.4
PET100,NM_001171155.2
PET117,NM_001164811.2
PEX1,NM_000466.3
PEX10,NM_002617.4
PEX11A,NM_003847.3
PEX11B,NM_003846.3
