Gene,Transcript
ANO5,NM_213599.3
ANO6,NM_001025356.3
ANO7,NM_001370694.2
ANO8,NM_020959.3
ANO9,NM_001012302.3
ANOS1,NM_000216.4
ANP32B,NM_006401.3
ANPEP,NM_001150.3
ANTXR1,NM_032208.3
ANTXR2,NM_058172.6
ANXA1,NM_000700.3
ANXA10,NM_007193.5
ANXA11,NM_145868.2
ANXA2,NM_004039.3
ANXA3,NM_005139.3
ANXA4,NM_001153.5
ANXA5,NM_001154.4
ANXA6,NM_001155.5
ANXA7,NM_001156.5
ANXA9,NM_003568.3
AOAH,NM_001637.4
AOC1,NM_001091.4
AOC2,NM_009590.4
AOC3,NM_003734.4
AOPEP,NM_001193329.3
AOX1,NM_001159.4
AP1AR,NM_018569.6
AP1B1,NM_001127.4
AP1G1,NM_001128.6
AP1G2,NM_003917.5
AP1M2,NM_005498.5
AP1S1,NM_001283.5
AP1S2,NM_001272071.2
AP1S3,NM_001039569.2
AP2A2,NM_012305.4
AP2M1,NM_004068.4
AP2S1,NM_004069.6
AP3B1,NM_003664.5
AP3B2,NM_001278512.2
AP3D1,NM_001261826.3
AP3M2,NM_006803.4
AP3S1,NM_001284.4
AP4B1,NM_001253852.3
AP4E1,NM_007347.5
AP4M1,NM_004722.4
AP4S1,NM_001128126.3
AP5B1,NM_138368.5
AP5M1,NM_018229.4
AP5Z1,NM_014855.3
APAF1,NM_181861.2
APBA1,NM_001163.4
APBA2,NM_001353788.2
APBA3,NM_004886.4
APBB1,NM_001164.5
APBB1IP,NM_019043.4
APBB3,NM_133173.3
APC,NM_000038.6
APC2,NM_005883.3
APCDD1,NM_153000.5
APCDD1L,NM_153360.3
APCS,NM_001639.4
APEX1,NM_001641.4
APEX2,NM_014481.4
APIP,NM_015957.4
APLF,NM_173545.3
APLNR,NM_005161.6
APLP1,NM_001024807.3
APLP2,NM_001142276.2
APOA1,NM_000039.3
APOA2,NM_001643.2
APOA4,NM_000482.4
APOA5,NM_001371904.1
APOB,NM_000384.3
APOBEC1,NM_001644.5
APOBEC2,NM_006789.4
APOBEC3A,NM_145699.4
APOBEC3B,NM_004900.5
APOBEC3C,NM_014508.3
APOBEC3D,NM_152426.4
APOBEC3F,NM_145298.6
APOBEC3H,NM_181773.5
APOBEC4,NM_203454.3
APOBR,NM_018690.4
APOC1,NM_001645.5
APOC2,NM_000483.5
APOC4,NM_001646.3
APOD,NM_001647.4
APOE,NM_000041.4
APOF,NM_001638.4
APOH,NM_000042.3
