,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
10,"('W', 'G')",108,16,31,0.0007863123407353477,0.001800382581298526,0.002687239944521498,2.2896532179754865,3.417522281296553,0.00031789369618513924,0.0011089314983202532,True,1.6241473482194808e-15,8.700789365461503e-15,True
11,"('V', 'D')",180,17,55,0.0013105205678922462,0.0019129064926296838,0.004767683772538141,1.4596539264593726,3.638007589767298,0.08264090798810564,0.16060638102713165,False,1.1804887559143784e-29,1.0416077258068044e-28,True
12,"('H', 'R')",1151,58,356,0.00838005096468875,0.006526386857207156,0.03085991678224688,0.778800377790967,3.6825452389588262,0.1552804099474513,0.2701379399592164,False,3.0676287269105457e-190,2.3007215451829092e-188,True
13,"('V', 'M')",2301,161,52,0.016752821259555878,0.018116349724316416,0.004507628294036061,1.0813909755040678,0.2690668171168418,0.07136939374352236,0.14273878748704472,False,4.685194987966389e-23,3.5138962409747915e-22,True
14,"('W', 'S')",120,38,30,0.0008736803785948308,0.004275908630583999,0.0026005547850208046,4.894133753422603,2.9765516643550622,7.840642433781207e-31,2.3521927301343623e-29,True,5.2209427343361676e-12,2.1753928059734032e-11,True
15,"('A', 'D')",461,22,69,0.0033563887877684747,0.0024755260492854733,0.00598127600554785,0.7375564053565288,1.7820569617396902,0.281177434409312,0.4142778874554695,False,1.0948214244515962e-08,3.22006301309293e-08,True
16,"('M', 'I')",1226,97,229,0.00892610120131052,0.010914819399122314,0.01985090152565881,1.2227980786863375,2.2239162516714823,0.008448302518487378,0.022232375048650995,False,2.348595824025557e-46,3.202630669125759e-45,True
17,"('R', 'C')",3129,502,240,0.02278121587186021,0.056487003488241254,0.020804438280166437,2.4795429623234058,0.9132277397829531,9.451204729313288e-122,7.088403546984965e-120,True,0.8748137887646867,0.9049797814807105,False
18,"('I', 'N')",309,30,55,0.002249726974881689,0.003375717339934736,0.004767683772538141,1.5005008952751975,2.119227722194543,0.010633092736837841,0.02749937776768407,False,7.720879596411764e-11,3.047715630162538e-10,True
19,"('W', 'R')",498,86,136,0.0036257735711685475,0.009677056374479577,0.011789181692094313,2.6689632390256426,3.251494187568582,3.3319513948663515e-25,7.139895846142181e-24,True,1.954870572706491e-59,4.1890083700853375e-58,True
20,"('D', 'E')",1204,35,74,0.008765926465234802,0.0039383368965905255,0.006414701803051317,0.44927788434112015,0.7317768211371248,5.0102147038957e-06,2.8597020920321703e-05,True,0.04153982949549017,0.05878277758795779,False
21,"('T', 'A')",2034,51,106,0.014808882417182381,0.005738719477889051,0.009188626907073508,0.3875187415378865,0.6204807795902391,1.558901283250751e-11,1.7987322499047126e-10,True,1.9105292890500587e-05,4.054205633810601e-05,True
