pair_id,Gene,DMS_dataset,CBGE_dataset,n_variants,label_concordance,mean_auroc_calm_CBGE,mean_auroc_calm_DMS,mean_auroc_combo_CBGE,mean_auroc_combo_DMS,mean_auroc_esm2_150m_CBGE,mean_auroc_esm2_150m_DMS,mean_calm_weight_CBGE,mean_calm_weight_DMS,paired_folds,delta_CBGE_minus_DMS,p_wilcoxon
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,1195,0.7765690376569038,0.5068716105154795,0.479100840291608,0.7958035629309547,0.7911111401275766,0.7960286419492857,0.7911111401275766,0.02,0.0,10,0.02,0.001953125
VAV1|dataset2065|dataset2061,VAV1,dataset2065,dataset2061,45,0.6888888888888889,0.7912121212121214,0.9226190476190476,0.8281818181818181,0.9702380952380952,0.8348484848484848,0.9761904761904763,0.15166666666666664,0.09666666666666668,3,0.055,0.75
LCK|dataset0914|dataset0912,LCK,dataset0914,dataset0912,43,0.5813953488372093,0.5589668615984406,0.8193681318681318,0.5414230019493177,0.8846153846153847,0.5501949317738791,0.8890796703296704,0.125,0.04,2,0.08499999999999999,1.0
BRCA1|dataset0163|dataset0156,BRCA1,dataset0163,dataset0156,39,0.3333333333333333,0.4375,0.6116666666666666,0.5583333333333333,0.6666666666666667,0.5817708333333333,0.6916666666666667,0.135,0.245,2,-0.11,0.5
LCK|dataset0914|dataset0910,LCK,dataset0914,dataset0910,37,0.5135135135135135,0.5061728395061729,0.7523809523809524,0.4567901234567901,0.7797619047619048,0.5061728395061729,0.8797619047619047,0.4883333333333333,0.19166666666666668,3,0.29666666666666663,0.5
VAV1|dataset2065|dataset2062,VAV1,dataset2065,dataset2062,37,0.7027027027027027,0.7819444444444444,0.965,0.80625,0.9875,0.7798611111111111,0.9875,0.7612500000000001,0.14250000000000002,4,0.61875,0.125
FYN|dataset0631|dataset0629,FYN,dataset0631,dataset0629,33,0.6363636363636364,0.6833333333333333,0.8690476190476191,0.75,0.9226190476190477,0.75,0.9226190476190477,0.1525,0.0675,2,0.08499999999999999,0.5
FYN|dataset0631|dataset0627,FYN,dataset0631,dataset0627,32,0.6875,0.5825757575757575,0.8644688644688644,0.6670454545454545,0.9258241758241759,0.6683712121212122,0.9258241758241759,0.23500000000000001,0.0675,2,0.1675,0.31731050786291415
RASGRP1|dataset1562|dataset1558,RASGRP1,dataset1562,dataset1558,27,0.5185185185185185,0.7388888888888889,0.8227513227513228,0.7222222222222222,0.828042328042328,0.5055555555555555,0.6640211640211641,0.9083333333333333,0.8716666666666667,3,0.03666666666666666,0.75
RASGRP1|dataset1562|dataset1559,RASGRP1,dataset1562,dataset1559,27,0.6296296296296297,0.725,0.825,0.725,0.825,0.5729166666666666,0.6875,0.935,0.77625,4,0.15875,0.375
RASGRP1|dataset1562|dataset1560,RASGRP1,dataset1562,dataset1560,26,0.38461538461538464,0.7708333333333334,0.75625,0.7395833333333334,0.75625,0.6145833333333334,0.7125,0.7425,0.6525,4,0.09,0.625
RASGRP1|dataset1562|dataset1561,RASGRP1,dataset1562,dataset1561,26,0.4230769230769231,0.7222222222222222,0.71875,0.6909722222222222,0.725,0.6458333333333334,0.675,0.925,0.605,4,0.32000000000000006,0.25
VAV1|dataset2065|dataset2063,VAV1,dataset2065,dataset2063,20,0.75,0.7589285714285714,0.9166666666666667,0.6875,1.0,0.6815476190476191,1.0,0.6775,0.0,2,0.6775,0.5
