pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,2,0.11,2.3719449193753874,2.2504885529900345,0.10495859607120686
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,3,0.01,2.358830379084242,2.206594194941172,0.009360652824326627
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,4,0.01,2.3673409893336594,2.232846895999085,0.009437238483592344
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,5,0.005,2.376802832292793,2.2140381977128887,0.00465919284393703
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,6,0.01,2.363913347656918,2.2490828131195393,0.00951885935691351
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,7,0.005,2.3298662167696302,2.2115138180886564,0.004747216055956613
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,8,0.135,2.377692522075418,2.2523411414992074,0.1287995200991962
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,9,0.005,2.337338404343741,2.211559569796494,0.0047322090319105335
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,10,0.005,2.3866632258565867,2.2391547131689427,0.004692423424685997
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,150M,DMS,1,0.29,2.4519916896660896,2.7634829133032937,0.31522732716248
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,150M,DMS,2,0.185,2.5757624688155913,2.6431630607791363,0.18892635818927186
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,150M,CBGE,1,0.8200000000000001,2.4519916896660896,2.7634829133032937,0.8369815537025813
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,150M,CBGE,2,0.99,2.5757624688155913,2.6431630607791363,0.9902525141435163
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,150M,DMS,1,0.0,2.6115452672757686,2.9981441956987087,0.0
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,150M,DMS,2,0.585,2.430078853045211,2.327358580397,0.5744776178101864
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,150M,CBGE,1,0.99,2.6115452672757686,2.9981441956987087,0.991278214356698
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,150M,CBGE,2,0.0,2.430078853045211,2.327358580397,0.0
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,150M,DMS,1,0.965,2.5358656843107883,2.5232925648032363,0.9648317345081124
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,150M,DMS,2,0.045,2.681527607310599,2.9412379546573155,0.049144137748755895
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,150M,CBGE,1,0.975,2.5358656843107883,2.5232925648032363,0.9748785588243272
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,150M,CBGE,2,0.02,2.681527607310599,2.9412379546573155,0.021894622205016912
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,150M,DMS,1,0.005,2.4332407138151857,2.6395852011756094,0.0054217127916046624
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,150M,DMS,2,0.115,2.5495268132737245,2.600843503118538,0.11704378899877381
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,150M,CBGE,1,0.02,2.4332407138151857,2.6395852011756094,0.021659311441718183
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,150M,CBGE,2,0.99,2.5495268132737245,2.600843503118538,0.9901953733425278
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,1,0.54,2.3639351773249104,2.3110469336806636,0.5343745921902764
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,2,0.17,2.4009748497307544,2.182201935706374,0.15694091114307562
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,3,0.045,2.484292710940121,2.3873726980840844,0.0433204625325365
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,4,0.225,2.3253646130065504,2.2470769638224906,0.21908453711810438
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,5,0.225,2.405075312006711,2.380616129152966,0.22322257051779562
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,6,0.17,2.3447163745605253,2.2641771193254763,0.1651248526418623
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,7,0.175,2.417214962126739,2.3754939243214324,0.17250054342945648
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,8,0.17,2.3679853310139634,2.2671208273894337,0.16394599744886634
