model,assay,case_class,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
ESM-1b (650M),CBGE,gof,1,0.15,3.8964637064428342,1.9987563326099045,0.08300925272457675
ESM-1b (650M),CBGE,gof,2,0.1,3.865184017860634,1.9554484171459259,0.05322091479546203
ESM-1b (650M),CBGE,gof,3,0.04,3.8917556915725413,2.009079043287932,0.021057053196416712
ESM-1b (650M),CBGE,gof,4,0.06,3.880245942849459,2.0129345648037362,0.03205133517068823
ESM-1b (650M),CBGE,gof,5,0.18,3.8806955642108876,2.007853443276058,0.10199098471501877
ESM-1b (650M),CBGE,gof,6,0.47,3.8622285663089455,2.028247252640016,0.31773148029958875
ESM-1b (650M),CBGE,gof,7,0.1,3.897466767764057,2.006395870350006,0.05410467280832489
ESM-1b (650M),CBGE,gof,8,0.08,3.8819865823116695,1.9679320190461647,0.04222053601105742
ESM-1b (650M),CBGE,gof,9,0.0,3.8869381689606026,2.0105955303946343,0.0
ESM-1b (650M),CBGE,gof,10,0.15,3.8854634322154267,2.024103321481903,0.08419125282791566
