ensemble,fold,component,training_score_sd,raw_weight,standardized_equivalent_weight,weight_difference,max_heldout_affine_equivalence_error
ESM-2 650M + ESM-1b 650M,6,ESM-1b 650M,4.560736566775886,0.61,0.6627798429057088,0.05277984290570881,8.881784197001252e-16
ESM-2 150M + CaLM,6,ESM-2 150M,2.8695261684005064,0.5,0.5047016079779698,0.004701607977969813,8.881784197001252e-16
ESM-2 150M + CaLM,6,CaLM,2.816063342393684,0.5,0.4952983920220302,-0.004701607977969813,8.881784197001252e-16
ESM-2 650M + CaLM,6,ESM-2 650M,3.62948035620744,0.55,0.6116896723571841,0.06168967235718403,8.881784197001252e-16
ESM-2 650M + CaLM,6,CaLM,2.816063342393684,0.45,0.3883103276428158,-0.0616896723571842,8.881784197001252e-16
ESM-1b 650M + CaLM,6,ESM-1b 650M,4.560736566775886,0.6499999999999999,0.7504817762260998,0.10048177622609988,8.881784197001252e-16
ESM-1b 650M + CaLM,6,CaLM,2.816063342393684,0.35,0.24951822377390023,-0.10048177622609974,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,6,ESM-2 650M,3.62948035620744,0.3,0.28317032737756104,-0.01682967262243895,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M + CaLM,6,ESM-1b 650M,4.560736566775886,0.45,0.5337397395558169,0.08373973955581687,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M + CaLM,6,CaLM,2.816063342393684,0.2499999999999999,0.1830899330666221,-0.06691006693337778,1.3322676295501878e-15
ESM-2 150M + ESM-2 650M,7,ESM-2 150M,2.8537276195009618,0.14,0.11381622245766818,-0.026183777542331838,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,7,ESM-2 650M,3.617110124167514,0.86,0.8861837775423318,0.02618377754233181,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,7,ESM-2 650M,3.617110124167514,0.39,0.33747448644649053,-0.052525513553509484,1.7763568394002505e-15
ESM-2 650M + ESM-1b 650M,7,ESM-1b 650M,4.540024175945992,0.61,0.6625255135535094,0.05252551355350943,1.7763568394002505e-15
ESM-2 150M + CaLM,7,ESM-2 150M,2.8537276195009618,0.48,0.48306077816021425,0.0030607781602142725,1.3322676295501878e-15
ESM-2 150M + CaLM,7,CaLM,2.818954852372172,0.52,0.5169392218397858,-0.003060778160214217,1.3322676295501878e-15
ESM-2 650M + CaLM,7,ESM-2 650M,3.617110124167514,0.55,0.6106344544399152,0.06063445443991511,8.881784197001252e-16
ESM-2 650M + CaLM,7,CaLM,2.818954852372172,0.45,0.3893655455600849,-0.06063445443991511,8.881784197001252e-16
ESM-1b 650M + CaLM,7,ESM-1b 650M,4.540024175945992,0.64,0.7411453946749582,0.1011453946749582,8.881784197001252e-16
ESM-1b 650M + CaLM,7,CaLM,2.818954852372172,0.36,0.25885460532504173,-0.10114539467495826,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,7,ESM-2 650M,3.617110124167514,0.3,0.2831114704356164,-0.01688852956438358,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M + CaLM,7,ESM-1b 650M,4.540024175945992,0.45,0.5330220298011273,0.08302202980112733,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M + CaLM,7,CaLM,2.818954852372172,0.2499999999999999,0.18386649976325617,-0.06613350023674372,1.3322676295501878e-15
ESM-2 150M + ESM-2 650M,8,ESM-2 150M,2.8611066351493446,0.15,0.12223410063050766,-0.027765899369492336,1.3322676295501878e-15
ESM-2 150M + ESM-2 650M,8,ESM-2 650M,3.625706967935754,0.85,0.8777658993694923,0.027765899369492364,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M,8,ESM-2 650M,3.625706967935754,0.38,0.32795412603084806,-0.052045873969151946,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M,8,ESM-1b 650M,4.553763043585082,0.62,0.672045873969152,0.05204587396915206,1.3322676295501878e-15
ESM-2 150M + CaLM,8,ESM-2 150M,2.8611066351493446,0.48,0.4824592482479856,0.0024592482479856015,1.1102230246251565e-15
ESM-2 150M + CaLM,8,CaLM,2.8330605378909017,0.52,0.5175407517520144,-0.0024592482479856015,1.1102230246251565e-15
ESM-2 650M + CaLM,8,ESM-2 650M,3.625706967935754,0.54,0.6003765602185309,0.060376560218530884,8.881784197001252e-16
ESM-2 650M + CaLM,8,CaLM,2.8330605378909017,0.46,0.399623439781469,-0.060376560218530995,8.881784197001252e-16
ESM-1b 650M + CaLM,8,ESM-1b 650M,4.553763043585082,0.64,0.7407673119428362,0.10076731194283617,8.881784197001252e-16
ESM-1b 650M + CaLM,8,CaLM,2.8330605378909017,0.36,0.2592326880571638,-0.10076731194283617,8.881784197001252e-16
