fold,model,components,test_auc,w_esm2_150m,w_esm2_650m,w_esm1b_650m,w_calm,n_test,n_test_genes,n_test_pathogenic
8,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.934167679651078,0.25,0.0,0.75,0.0,6880,1142,2304
8,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.878783610595134,0.48,0.0,0.0,0.52,6880,1142,2304
8,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.909963043141754,0.0,0.54,0.0,0.46,6880,1142,2304
8,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9359375569092366,0.0,0.0,0.64,0.36,6880,1142,2304
8,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9396437709425991,0.0,0.30000000000000004,0.45,0.24999999999999994,6880,1142,2304
9,ESM-2 150M,ESM-2 150M,0.8567438259113341,1.0,0.0,0.0,0.0,7868,1144,3298
9,ESM-2 650M,ESM-2 650M,0.8981257787691764,0.0,1.0,0.0,0.0,7868,1144,3298
9,ESM-1b 650M,ESM-1b 650M,0.9329341567663182,0.0,0.0,1.0,0.0,7868,1144,3298
9,CaLM,CaLM,0.8345370113575896,0.0,0.0,0.0,1.0,7868,1144,3298
9,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8994613803472166,0.15000000000000002,0.85,0.0,0.0,7868,1144,3298
9,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9389077393234809,0.0,0.39,0.61,0.0,7868,1144,3298
9,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.9350618304575546,0.25,0.0,0.75,0.0,7868,1144,3298
9,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8791802737021178,0.47,0.0,0.0,0.53,7868,1144,3298
9,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.909758052423523,0.0,0.54,0.0,0.46,7868,1144,3298
9,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9368493337915824,0.0,0.0,0.63,0.37,7868,1144,3298
9,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9404698557444138,0.0,0.30000000000000004,0.45,0.24999999999999994,7868,1144,3298
10,ESM-2 150M,ESM-2 150M,0.8591955151714343,1.0,0.0,0.0,0.0,6049,1133,1735
10,ESM-2 650M,ESM-2 650M,0.9109111945692531,0.0,1.0,0.0,0.0,6049,1133,1735
10,ESM-1b 650M,ESM-1b 650M,0.9214354711354628,0.0,0.0,1.0,0.0,6049,1133,1735
10,CaLM,CaLM,0.8149761048740178,0.0,0.0,0.0,1.0,6049,1133,1735
10,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.9122211845622923,0.15000000000000002,0.85,0.0,0.0,6049,1133,1735
10,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9331715385468395,0.0,0.38,0.62,0.0,6049,1133,1735
10,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.925758905727482,0.25,0.0,0.75,0.0,6049,1133,1735
10,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8760538371818046,0.47,0.0,0.0,0.53,6049,1133,1735
10,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9173872613660504,0.0,0.54,0.0,0.46,6049,1133,1735
10,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9253836112970437,0.0,0.0,0.64,0.36,6049,1133,1735
10,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9341711657908905,0.0,0.25,0.45,0.3,6049,1133,1735
