gene,model,mean_raw_calm_weight,sd_raw_calm_weight,mean_standardized_equivalent_calm_weight,sd_standardized_equivalent_calm_weight
EDAR,ESM-2 650M + CaLM,0.402,0.37352376095772005,0.3305144947666941,0.3126526533969536
EEF1A2,ESM-1b 650M + CaLM,0.404,0.14518953130305232,0.4123397533666183,0.1504300281930379
EEF1A2,ESM-2 650M + CaLM,0.314,0.4420180991769455,0.28768255497693207,0.41264180262848615
EFNB1,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
EFNB1,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
EFTUD2,ESM-1b 650M + CaLM,0.09,0.0821583836257749,0.07448449209212461,0.06804510450942254
EFTUD2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
EIF2B5,ESM-1b 650M + CaLM,0.256,0.14415269681833914,0.22589578315689146,0.12642921190265335
EIF2B5,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
ELAC2,ESM-1b 650M + CaLM,0.15,0.33541019662496846,0.12866479889449445,0.28770323663942937
ELAC2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
ELANE,ESM-1b 650M + CaLM,0.054000000000000006,0.07797435475847171,0.0510311313125798,0.0732690103510486
ELANE,ESM-2 650M + CaLM,0.018,0.01643167672515498,0.016295181986305706,0.01488948817873813
ELN,ESM-1b 650M + CaLM,0.16799999999999998,0.18143869488066763,0.10907013681036877,0.11521551516214054
ELN,ESM-2 650M + CaLM,0.43599999999999994,0.48992856622164827,0.4173905922154361,0.48730787997766706
EMD,ESM-1b 650M + CaLM,0.632,0.14788509052639487,0.558321798001782,0.1738738836225232
EMD,ESM-2 650M + CaLM,0.6679999999999999,0.18074844397670484,0.5862852568601662,0.2057083486969003
ENG,ESM-1b 650M + CaLM,0.596,0.08763560920082654,0.49105181244136686,0.09940761976404278
ENG,ESM-2 650M + CaLM,0.58,0.03162277660168376,0.45018312656063453,0.02360055896013978
ENPP1,ESM-1b 650M + CaLM,0.057999999999999996,0.1296919426949878,0.04198406246996638,0.09387921765444256
ENPP1,ESM-2 650M + CaLM,0.356,0.27618834153526467,0.29963047417795935,0.2510816624510441
EPHB4,ESM-1b 650M + CaLM,0.362,0.04549725266430928,0.30952216255192644,0.04443452315508789
EPHB4,ESM-2 650M + CaLM,0.48600000000000004,0.046690470119715,0.4468169030262653,0.05056425788056146
ERF,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
ERF,ESM-2 650M + CaLM,0.48600000000000004,0.26847718711279733,0.40554688537471445,0.23355673207768538
ETFDH,ESM-1b 650M + CaLM,0.26,0.25179356624028343,0.2555695595820147,0.2532334333394522
ETFDH,ESM-2 650M + CaLM,0.52,0.29983328701129897,0.5259445838479094,0.3016277513719215
EXT1,ESM-1b 650M + CaLM,0.438,0.09093954035511724,0.34680936792649103,0.08044573546033505
EXT1,ESM-2 650M + CaLM,0.05600000000000001,0.03130495168499706,0.04870323090756824,0.02745271514030039
EXT2,ESM-1b 650M + CaLM,0.20400000000000001,0.14859340496805368,0.14201397542071337,0.10736369888882884
EXT2,ESM-2 650M + CaLM,0.398,0.1742699056062176,0.39457645510671036,0.19089713706565034
EYA1,ESM-1b 650M + CaLM,0.33599999999999997,0.07602631123499284,0.22747624971590047,0.056730751465172057
EYA1,ESM-2 650M + CaLM,0.12,0.08485281374238571,0.0916049776300396,0.06598749585355798
EZH2,ESM-1b 650M + CaLM,0.272,0.15205262246998572,0.16974389558215391,0.09502297989928618
EZH2,ESM-2 650M + CaLM,0.9179999999999999,0.0988433103452125,0.9065973218850722,0.11099340535349253
F11,ESM-1b 650M + CaLM,0.054000000000000006,0.04929503017546495,0.0478850180253834,0.04378903718006782
F11,ESM-2 650M + CaLM,0.09,0.08306623862918075,0.08417688857009578,0.07740913201981126
F2,ESM-1b 650M + CaLM,0.29,0.26182054923172093,0.20444417843176113,0.19234946613557297
F2,ESM-2 650M + CaLM,0.31,0.22147234590350098,0.23067091908885407,0.18133543850159808
F7,ESM-1b 650M + CaLM,0.246,0.22456624857711807,0.2361691671308499,0.2158814055842771
F7,ESM-2 650M + CaLM,0.118,0.11454256850621082,0.12014147024579043,0.12221908515928014
F9,ESM-1b 650M + CaLM,0.358,0.22829805080201626,0.3433711774504509,0.2245756864471673
F9,ESM-2 650M + CaLM,0.49000000000000005,0.09974968671630002,0.4818461674868722,0.09999922435058818
FA2H,ESM-1b 650M + CaLM,0.272,0.15205262246998572,0.22134839468232567,0.12649297529316683
FA2H,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FARS2,ESM-1b 650M + CaLM,0.1,0.06164414002968977,0.09807602512404481,0.06210783222856583
FARS2,ESM-2 650M + CaLM,0.054000000000000006,0.04929503017546495,0.053054414180849364,0.048608534173400074
FARSB,ESM-1b 650M + CaLM,0.48,0.27739863013360394,0.3871998583035198,0.22630786316121249
FARSB,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FBXO11,ESM-1b 650M + CaLM,0.11599999999999999,0.11928956366757319,0.05834665534541596,0.06187151385134411
FBXO11,ESM-2 650M + CaLM,0.11400000000000002,0.22154006409676785,0.08285193572713208,0.1653984468618929
FBXO7,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
FBXO7,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FECH,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
FECH,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FGD1,ESM-1b 650M + CaLM,0.132,0.18074844397670484,0.08996923998994291,0.12320942390513967
FGD1,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FGFR1,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
FGFR1,ESM-2 650M + CaLM,0.038,0.038340579025361636,0.03496015375439952,0.03563876197641956
FGFR2,ESM-1b 650M + CaLM,0.404,0.05813776741499454,0.3522227133743076,0.05300521665466933
FGFR2,ESM-2 650M + CaLM,0.65,0.2,0.5876236909145767,0.19382912297103702
FGFR3,ESM-1b 650M + CaLM,0.674,0.2834254752135029,0.5829057974768584,0.3415139761439074
FGFR3,ESM-2 650M + CaLM,0.672,0.013038404810405291,0.5667691767093872,0.01122623221759406
FH,ESM-1b 650M + CaLM,0.20800000000000002,0.1449827575955155,0.16780033528235333,0.11790893213807695
FH,ESM-2 650M + CaLM,0.924,0.05683308895353123,0.8817132496600193,0.08473707264554846
FLCN,ESM-1b 650M + CaLM,0.088,0.19677398201998147,0.08344170730438887,0.18658132969125424
FLCN,ESM-2 650M + CaLM,0.26,0.066332495807108,0.24640173537426174,0.09708453065844999
FMO3,ESM-1b 650M + CaLM,0.656,0.303693924865151,0.6024341710097196,0.29246597828396487
FMO3,ESM-2 650M + CaLM,0.258,0.02683281572999749,0.22797957439199115,0.034397605983616096
FOXF1,ESM-1b 650M + CaLM,0.576,0.3219937887599697,0.4879317428973449,0.2728336355572047
FOXF1,ESM-2 650M + CaLM,0.032,0.017888543819998316,0.03567417359251103,0.019961324014381825
FOXG1,ESM-1b 650M + CaLM,0.418,0.09011104260855048,0.28786712936087594,0.06828218404004739
FOXG1,ESM-2 650M + CaLM,0.976,0.020736441353327747,0.97699742829728,0.019552074186559347
FOXH1,ESM-1b 650M + CaLM,0.742,0.41535526961867236,0.6924452678387144,0.3894034221083571
FOXH1,ESM-2 650M + CaLM,0.584,0.32090497035726945,0.5969959396781547,0.3264142607336238
FOXP1,ESM-1b 650M + CaLM,0.466,0.06503845016603642,0.3206946503440629,0.05696266627314175
FOXP1,ESM-2 650M + CaLM,0.386,0.4162090820729409,0.3697106055692345,0.4189584599735261
FOXP3,ESM-1b 650M + CaLM,0.4720000000000001,0.09679876032264054,0.37364383988843203,0.08064736420616088
FOXP3,ESM-2 650M + CaLM,0.952,0.010954451150103333,0.9503492824755648,0.011584605222354175
FOXRED1,ESM-1b 650M + CaLM,0.192,0.17527121840165316,0.14043727893096153,0.12872514121189674
FOXRED1,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FRMD7,ESM-1b 650M + CaLM,0.18,0.19987496091306683,0.13625265807248282,0.15278530105594187
FRMD7,ESM-2 650M + CaLM,0.44800000000000006,0.12477980605851256,0.414501832717647,0.12340060209475527
FUCA1,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
FUCA1,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
FUS,ESM-1b 650M + CaLM,0.057999999999999996,0.1296919426949878,0.0400563901534967,0.08956881131647185
FUS,ESM-2 650M + CaLM,0.628,0.37157771730823685,0.5864958139693257,0.36066107062004465
FZD4,ESM-1b 650M + CaLM,0.198,0.190840247327444,0.14066013108337352,0.13661580397195397
